parent_asin,product_type,title,average_rating,rating_number,price,store,categories,features,description
B097GZY3P7,laptop,"HP 15t Home & Business Laptop (Intel i7-1255U 4-Core, 16GB RAM, 512GB PCIe SSD, Intel Iris Xe, WiFi, BT, Integrated Webcam, Fingerprint, Backlit KYB, 1xUSB 3.2, 1xHDMI, Win 11 Pro) w/Hub",3.9,31,,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""【Upgraded】 Seal is opened for Hardware/Software upgrade only to enhance performance. 15.6\"" HD (1366x768) 60Hz Touchscreen LED Display; 802.11ac Wifi, Bluetooth 4.2, Ethernet LAN (RJ-45), 720p Integrated webcam, Backlit Keyboard, Fingerprint Security, ."", ""【Powerful Performance with Intel Core i7-1255U Quad Core】 11th Gen Intel Core i7-1255U 2.80GHz Processor (upto 4.7 GHz, 12MB Cache, 4-Cores) ; Intel Iris Xe Integrated Graphics, ."", ""【High Speed and Multitasking】 16GB DDR4 SODIMM; 45W Power Supply, 3-Cell 41 WHr Battery; Natural Silver Color, ."", ""【Enormous Storage】 512GB PCIe NVMe SSD; 2 USB 3.1 Gen2, 1 HDMI, USB 3.2 Type-C Gen1, SD Reader, No Optical Drive, Headphone/Microphone Combo Jack., Windows 11 Pro-64., 1 Year Manufacturer warranty from GreatPriceTech (Professionally upgraded by GreatPriceTech)"", ""Includes Dockztorm USB Hub(Special Edition Portable Docztorm Data Hub;Super Speedy Data Syn Rate upto 5Gbps)""]",[]
B08B5GBWG1,laptop,"Panasonic Laptop Convertible Tablet CF-C2, Intel i5 4th Gen, 1.90GHz, 12.5 HD Touchscreen, 8GB, 240GB SSD, Webcam, WiFi, Bluetooth, Windows 10 Pro Upgraded (Renewed)",4.2,62,549.99,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""Bluetooth, Wi-Fi"", ""Product Type - NOTEBOOK COMPUTER"", ""For customization and other add on features, please contact us ‘Ruggedbooks Inc;’""]","[""This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.""]"
B083GX7M5L,laptop,"Lenovo ThinkPad E15 20RD005GUS 15.6"" Notebook - 1920 x 1080 - Core i5 i5-10210U - 8 GB RAM - 1 TB HDD - Black - Windows 10 Pro 64-bit - Intel UHD Graphics - in-Plane Switching (IPS) Technology -",3.7,23,599.0,Lenovo,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Processor Manufacturer: Intel"", ""Processor Type: Core i5"", ""Processor Generation: 10th Gen"", ""Processor Model: i5-10210U"", ""Processor Speed: 1.60 GHz""]","[""E Series Stylish and affordable productivity Give your small business a unique style with the compelling facade and features of these business laptops. They're built for security and productivity, with a look that makes business personal again. Manufacturer: Lenovo Group Limited. Manufacturer Part Number: 20RD005GUS. Brand Name: Lenovo. Product Line: ThinkPad. Product Series: E15. Product Model: 20RD005GUS. Product Name: ThinkPad E15. Product Type: Notebook. [Processor & Chipset] Processor Manufacturer: Intel. Processor Type: Core i5. Processor Generation: 10th Gen. Processor Model: i5-10210U. Processor Speed: 1.60 GHz. Processor Core: Quad-core (4 Core). [Memory] Standard Memory: 8 GB. Maximum Memory: 16 GB. Memory Technology: DDR4 SDRAM. Number of Total Memory Slots: 1. Number of Occupied Memory Slots: 1. Intel Optane Memory Ready: Yes. [Storage] Drive Type: HDD. Total Hard Drive Capacity: 1 TB. Optical Drive Type: No. [Display & Graphics] Screen Size: 15.6\"". Display Screen Type: LCD. Display Screen Technology: In-plane Switching (IPS) Technology. Screen Resolution: 1920 x 1080. Touchscreen: No. Graphics Controller Manufacturer: Intel. Graphics Controller Model: UHD Graphics. Graphics Memory Technology: DDR4 SDRAM. Graphics Memory Accessibility: Shared. [Network & Communication] Wireless LAN: Yes. Wireless LAN Standard: IEEE 802.11ac. Wimax: No. Ethernet Technology: Gigabit Ethernet. Bluetooth: Yes. WWAN Supported: No. Near Field Communication: No. [Built-in Devices] Front Camera/Webcam: Yes. Focus Modes: Fixed Focus. Finger Print Reader: No. [Interfaces/Ports] HDMI: Yes. Total Number of USB Ports: 4. Number of USB 3.1 Gen 1 Ports: 2. USB Type-C: Yes. USB Type-C Detail: one USB 3.1 Type-C Gen 1 (with the function of Power Delivery and DisplayPort). Network (RJ-45): Yes. [Software] Operating System Platform: Windows. Operating System: Windows 10""]"
B002Q8HK7K,laptop,ASUS UL80Vt-A1 14-Inch Thin and Light Black Laptop (11.5 Hours of Battery Life),3.4,116,,ASUS,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Core 2 Duo Processor 1.3GHz"", ""4GB DDR3 RAM"", ""320GB 5400RPM Hard Drive"", ""14-Inch Screen"", ""Windows 7 Home Premium 64-bit""]","[""Product Description"", ""Asus Notebook 14Inch Ul80Vt-A1 Intel Core 2 Duo Su"", ""Amazon.com""]"
B0BF99RN8R,laptop,"HP 2022 Newest Envy x360 2-in-1 Laptop, 15.6"" FHD Touchscreen Edge-to-Edge 400nits, 12th Gen Intel 10 Cores i7-1255U, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Type-C, Windows 11, BROAG 64GB Flash Stylus",4.6,26,,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""12th Gen Intel Core i7-1255U Processor @ 2.10GHz (10 Cores, 12 Threads, 12M Cache, up to 4.70 GHz)."", ""Display: 15.6-inch diagonal, FHD (1920 x 1080), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 400 nits, 100% sRGB; Graphics: Intel Iris Xᵉ Graphics."", ""RAM: 64GB DDR4 Memory; Hard Drive: 2TB PCIe NVMe SSD."", ""Connectivity: Wi-Fi 6E and Bluetooth combo (Supporting Gigabit data rate). Ports: 2 Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge); 1 SuperSpeed USB Type-A 10Gbps signaling rate (HP Sleep and Charge); 1 SuperSpeed USB Type-A 10Gbps signaling rate; 1 Headphone/microphone combo; 1 HDMI 2.1. Slots: 1 Multi-format SD media card reader."", ""Bundled with BROAG 3 In 1 Design Stylus (Stylus Pen + Ballpoint Pen + USB 3.0 64GB Flash Drive); Backlit - English (US) Keyboard. Color: Natural Silver.""]","[""Operating system"", ""Windows 11 Home"", ""Processor"", ""Intel Evo platform powered by 12th Generation Intel Core i7-1255U Processor @ 2.10GHz (10 Cores, 12 Threads, 12M Cache, up to 4.70 GHz)"", ""Memory"", ""64GB DDR4 RAM"", ""Video graphics"", ""Intel Iris Xe Graphics"", ""Internal storage"", ""2TB PCIe NVMe M.2 SSD"", ""Camera"", ""HP True Vision 5MP IR camera with camera shutter, temporal noise reduction and integrated dual array digital microphones"", ""Display"", ""15.6-inch diagonal, FHD (1920 x 1080), multitouch-enabled, IPS, edge-to-edge glass, micro-edge, 400 nits, 100% sRGB"", ""Network card"", ""Integrated 10/100/1000 GbE LAN"", ""Wireless connectivity"", ""Wi-Fi 6E and Bluetooth combo (Supporting Gigabit data rate)"", ""MU-MIMO supported"", ""Digital media"", ""1 Multi-format SD media card reader"", ""Sound"", ""Audio by Bang & Olufsen with dual speakers"", ""Integrated keyboard"", ""Full-size, backlit, natural silver keyboard"", ""HP Imagepad with multi-touch gesture support External notebook"", ""ports"", ""2 Thunderbolt 4 with USB4 Type-C 40Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge)"", ""1 SuperSpeed USB Type-A 10Gbps signaling rate (HP Sleep and Charge)"", ""1 SuperSpeed USB Type-A 10Gbps signaling rate"", ""1 Headphone/microphone combo"", ""1 HDMI 2.1"", ""Dimensions"", ""14.13 in x 9.02 in x 0.73 in"", ""Weight"", ""3.75 lb"", ""Power"", ""6-cell, 83 Wh Li-ion polymer battery"", ""135 W Smart AC power adapter""]"
B019H50Z8A,laptop,"Toshiba Satellite S55-C5138 15.6"" (1920x1080) Full HD Laptop: Core i7-6500U 2.5GHz 1TB 8GB DVD-RW 4K HDMI Output - Windows 10 64bit (Brushed Metal)",3.6,22,,Toshiba,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel Core i7-6500U (4M Cache, up to 3.10GHz), Base 2.5 GHz ; Mobile Intel HD graphics with shared graphics memory"", ""8GB DDR3L 1600MHz; 1TB (5400 RPM) Serial ATA hard disk drive"", ""15.6” diagonal widescreen TruBrite LCD display at 1920 x 1080 native resolution (FHD) ; Intel Wireless Display Ready"", ""DVD SuperMulti drive ; Built-in harman kardon stereo speakers"", ""Backlit Keyboard; Webcam; Bluetooth; Intel Dual Band Wireless AC 7265; HDMI with 4K Ultra HD output capability""]","[""Product Description"", ""Toshiba Satellite S55-C5138"", ""Amazon.com""]"
B009MPBFNU,laptop,Lenovo ThinkPad Twist S230u 12.5-Inch Convertible 2 in 1 Touchscreen Ultrabook (33474HU) Black,3.6,174,,Lenovo,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""2 in 1 Laptops""]","[""Intel Core i5 3317U 1.7 GHz (3 MB Cache)"", ""4 GB DIMM"", ""500 GB 5400 rpm Hard Drive"", ""12.5-Inch Screen, Intel HD 4000 Graphics"", ""Windows 8, 5hour battery life""]","[""Product Description"", ""The Thinkpad Twist - a 12.5\"" Intel High Performance ocnvertible notebook with a touch of style and Windows 8.Don’t forget Office with your PC purchase.  Download Office 2013 instantly with Amazon Digital Software."", ""Amazon.com""]"
B01F5LW4ZC,laptop,"HP ENVY N5S60UA#ABA Laptop (Windows 10, Intel Core i7-6500U, 13"" LED-Lit Screen, Storage: 256 GB, RAM: 8 GB) silver",3.6,32,,HP,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""Intel(R) Core(TM) i7-6500U Processor 2.5GHz with turbo boost up to 3.1GHz"", ""8GB LPDDR3 SDRAM Memory"", ""256 GB M.2 Solid-State Drive, No Optical Drive"", ""Windows 10 Home""]","[""Impossibly thin. Enviably engineered. This HP ENVY notebook is the thinnest we've ever made, with the power of a high-performance PC in a superbly sleek body. Meet your new obsession.""]"
B07FRQ71SL,laptop,"Acer Predator Helios 300 Gaming Laptop, 15.6in Full HD IPS Display Intel 6-Core i7-8750H, GeForce GTX 1060 6GB DDR5 16GB DDR4, 256GB NVMe SSD, PH315-51-78NP (Renewed)",4.0,30,,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""8th Generation Intel Core i7-8750H 6-Core Processor (Up to 4.1GHz) with Windows 10 Home 64 Bit"", ""NVIDIA GeForce GTX 1060 Overclockable Graphics with 6 GB of dedicated GDDR5 VRAM"", ""15.6in Full HD (1920 x 1080) widescreen LED-backlit IPS display (144Hz Refresh Rate, 300nit Brightness & 72% NTSC )"", ""16GB DDR4 2666MHz DRAM Memory & 256GB PCIe NVMe SSD | Extra empty accessible slot for 2.5 inch hard drive or SSD""]","[""This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.""]"
B01MQEX93G,laptop,Lenovo ThinkPad T420 Laptop WEBCAM - Intel Core i5 2.50ghz - 8GB DDR3 - 128GB SSD - DVDRW - Windows 10 Pro 64bit - (Renewed),4.1,90,190.76,Amazon Renewed,"[""Electronics"", ""Computers & Accessories"", ""Computers & Tablets"", ""Laptops"", ""Traditional Laptops""]","[""This machine does not support Windows 11 upgrade.""]","[""This is a Grade A Refurbished Lenovo ThinkPad T420, featuring an Intel i5-2520M 2.50GHz processor, with 8GB of RAM, a 128GB Solid State Drive, Webcam, 14\"" screen, and a Windows 10 Pro Operating System. These units are retail ready including a brand new Operating System, functional batteries and AC Adapters (third-party new or OEM used). Each unit has been subjected to rigorous functionality testing before they leave our facility, they will offer you years of computing backed by our 90-Day Warranty! Our units have been cosmetically rejuvenated, but may have subtle signs of being preloved.""]"
